,date,threshold,density,max_ind_set,set_size,valid_soln,computation_time
0,2008-06-30,0.1,0.7904761904761904,"{'TSCO', 'GSK', 'ADM'}",3,True,0.011364500001945999
1,2008-11-30,0.1,0.9047619047619048,"{'III', 'SVT', 'AZN'}",3,True,0.011897500000486616
2,2009-04-30,0.1,0.8,"{'GSK', 'EVR', 'III', 'AHT'}",4,True,0.0085454000000027
3,2009-09-30,0.1,0.8476190476190476,"{'PSON', 'TSCO', 'EVR'}",3,True,0.006819700000050943
4,2010-02-28,0.1,0.8761904761904762,"{'STAN', 'VOD', 'CCL'}",3,True,0.009070899999642279
5,2010-07-31,0.1,0.861904761904762,"{'PSON', 'III', 'ADM'}",3,True,0.011939099997107405
6,2010-12-31,0.1,0.8,"{'STAN', 'III', 'ADM'}",3,True,0.009903799997118767
7,2011-05-31,0.1,0.8238095238095238,"{'PRU', 'IAG', 'III'}",3,True,0.009789200004888698
8,2011-10-31,0.1,0.9523809523809523,"{'III', 'IAG'}",2,True,0.017682199999399018
9,2012-03-31,0.1,0.819047619047619,"{'VOD', 'III', 'EVR'}",3,True,0.016971800003375392
10,2012-08-31,0.1,0.7666666666666667,"{'STAN', 'III', 'AZN'}",3,True,0.005095900000014808
11,2013-01-31,0.1,0.861904761904762,"{'PSON', 'WPP'}",2,True,0.009746800002176315
12,2013-06-30,0.1,0.9285714285714286,"{'STAN', 'IHG'}",2,True,0.012901499998406507
13,2013-11-30,0.1,0.7523809523809524,"{'STAN', 'RBS', 'ADM', 'AHT'}",4,True,0.00844879999931436
14,2014-04-30,0.1,0.780952380952381,"{'VOD', 'SVT', 'AHT'}",3,True,0.007888200001616497
15,2014-09-30,0.1,0.7952380952380952,"{'STAN', 'MRO', 'CRH'}",3,True,0.009463900001719594
16,2015-02-28,0.1,0.780952380952381,"{'CCL', 'VOD', 'ADM'}",3,True,0.00833759999659378
17,2015-07-31,0.1,0.8571428571428571,"{'III', 'SVT', 'ADM'}",3,True,0.008766400002059527
18,2015-12-31,0.1,0.8952380952380953,"{'TSCO', 'RIO'}",2,True,0.011544699998921715
19,2016-05-31,0.1,0.8952380952380953,"{'III', 'AHT', 'RIO'}",3,True,0.009929600004397798
20,2016-10-31,0.1,0.7428571428571429,"{'IAG', 'RBS', 'SVT', 'ADM'}",4,True,0.007523700005549472
21,2017-03-31,0.1,0.719047619047619,"{'GSK', 'SVT', 'IHG', 'ADM'}",4,True,0.008138299999700394
22,2017-08-31,0.1,0.7761904761904762,"{'III', 'CNA', 'RIO'}",3,True,0.00859630000195466
23,2008-06-30,0.2,0.6333333333333333,"{'III', 'IAG', 'ADM', 'EVR'}",4,True,0.007753499994578306
24,2008-11-30,0.2,0.8428571428571429,"{'III', 'AZN'}",2,True,0.011422700001276098
25,2009-04-30,0.2,0.6428571428571429,"{'PSON', 'GSK', 'III', 'ADM'}",4,True,0.007223799999337643
