,date,threshold,density,max_ind_set,set_size,valid_soln,computation_time
0,2008-06-30,0.1,0.7904761904761904,"['AHT', 'CNA', 'MRO', 'RBS']",4,False,0.008078
1,2008-11-30,0.1,0.9047619047619048,"['AZN', 'CNA', 'III', 'TSCO', 'WPP']",5,False,0.008002
2,2009-04-30,0.1,0.8,"['AHT', 'AZN', 'TSCO']",3,False,0.008137
3,2009-09-30,0.1,0.8476190476190476,"['EVR', 'GSK', 'III', 'PRU', 'PSON', 'RBS', 'TSCO', 'WPP']",8,False,0.007984
4,2010-02-28,0.1,0.8761904761904762,"['ADM', 'CNA', 'III', 'MRO', 'RBS', 'RIO']",6,False,0.008056
5,2010-07-31,0.1,0.861904761904762,"['ADM', 'IAG', 'IHG', 'III', 'PRU', 'PSON']",6,False,0.008213
6,2010-12-31,0.1,0.8,"['ADM', 'AHT', 'CNA', 'CRH', 'GSK', 'PRU']",6,False,0.008226
7,2011-05-31,0.1,0.8238095238095238,"['CCL', 'IAG', 'PRU', 'RBS', 'SVT', 'TSCO', 'VOD']",7,False,0.008031
8,2011-10-31,0.1,0.9523809523809523,"['PSON', 'RBS', 'SVT']",3,False,0.00819
9,2012-03-31,0.1,0.819047619047619,"['AHT', 'IAG', 'III', 'RBS', 'SVT']",5,False,0.008133
10,2012-08-31,0.1,0.7666666666666667,"['CNA', 'IHG', 'III', 'RIO', 'STAN', 'TSCO', 'WPP']",7,False,0.008029
11,2013-01-31,0.1,0.861904761904762,"['CRH', 'IHG', 'MRO', 'RIO']",4,False,0.008056
12,2013-06-30,0.1,0.9285714285714286,"['CNA', 'CRH', 'EVR', 'MRO', 'RBS']",5,False,0.008087
13,2013-11-30,0.1,0.7523809523809524,"['CCL', 'IHG', 'III', 'STAN']",4,False,0.008137
14,2014-04-30,0.1,0.780952380952381,"['AHT', 'CRH', 'III', 'RIO', 'STAN']",5,False,0.008141
15,2014-09-30,0.1,0.7952380952380952,"['CNA', 'IAG', 'III', 'MRO', 'PSON', 'SVT']",6,False,0.00815
16,2015-02-28,0.1,0.780952380952381,"['AZN', 'GSK', 'III', 'PSON', 'RBS', 'SVT']",6,False,0.007987
17,2015-07-31,0.1,0.8571428571428571,"['AZN', 'CRH', 'IAG', 'MRO', 'PRU']",5,False,0.008048
18,2015-12-31,0.1,0.8952380952380953,"['CRH', 'GSK', 'III', 'MRO', 'PSON']",5,False,0.00801
19,2016-05-31,0.1,0.8952380952380953,"['CCL', 'IAG', 'III', 'MRO', 'PRU', 'RIO']",6,False,0.008053
20,2016-10-31,0.1,0.7428571428571429,"['AHT', 'CCL', 'CNA', 'IAG', 'IHG', 'III', 'PSON', 'TSCO']",8,False,0.008177
21,2017-03-31,0.1,0.719047619047619,"['ADM', 'GSK', 'PRU', 'VOD']",4,False,0.008094
22,2017-08-31,0.1,0.7761904761904762,"['CNA', 'STAN', 'WPP']",3,False,0.008072
23,2008-06-30,0.2,0.6333333333333333,"['CNA', 'RIO', 'TSCO']",3,False,0.007984
24,2008-11-30,0.2,0.8428571428571429,"['CRH', 'EVR', 'III', 'PSON', 'SVT']",5,False,0.008156
25,2009-04-30,0.2,0.6428571428571429,"['EVR', 'GSK', 'III', 'RIO', 'TSCO']",5,False,0.008002
26,2009-09-30,0.2,0.6761904761904762,"['ADM', 'AHT', 'GSK', 'STAN', 'TSCO']",5,False,0.00812
27,2010-02-28,0.2,0.7666666666666667,"['AZN', 'CCL', 'IAG', 'IHG', 'RBS']",5,False,0.007987
28,2010-07-31,0.2,0.7904761904761904,"['CNA', 'IHG', 'III', 'PSON', 'WPP']",5,False,0.008098
29,2010-12-31,0.2,0.5952380952380952,"['AHT', 'III', 'PRU', 'STAN', 'TSCO']",5,False,0.007982
30,2011-05-31,0.2,0.6904761904761905,"['AZN', 'CNA', 'GSK', 'III', 'RIO']",5,False,0.008006
31,2011-10-31,0.2,0.9095238095238095,"['AZN', 'CNA', 'CRH', 'STAN', 'VOD']",5,False,0.008233
32,2012-03-31,0.2,0.6619047619047619,"['ADM', 'EVR', 'III', 'RIO', 'SVT']",5,False,0.008055
33,2012-08-31,0.2,0.5619047619047619,"['AZN', 'GSK', 'IHG', 'III', 'TSCO']",5,False,0.008007
34,2013-01-31,0.2,0.6857142857142857,"['CRH', 'III', 'WPP']",3,False,0.008176
35,2013-06-30,0.2,0.8333333333333334,"['ADM', 'AZN', 'EVR', 'PRU', 'SVT']",5,False,0.00807
36,2013-11-30,0.2,0.5238095238095238,"['CCL', 'III', 'STAN']",3,True,0.007998
37,2014-04-30,0.2,0.5619047619047619,"['ADM', 'GSK', 'RIO', 'SVT', 'VOD']",5,False,0.007963
38,2014-09-30,0.2,0.6095238095238096,"['PSON', 'SVT']",2,True,0.00807
39,2015-02-28,0.2,0.5571428571428572,"['GSK', 'IAG', 'PRU', 'SVT', 'TSCO']",5,False,0.008084
40,2015-07-31,0.2,0.719047619047619,"['CCL', 'GSK', 'IAG', 'PSON', 'TSCO', 'WPP']",6,False,0.008035
41,2015-12-31,0.2,0.8142857142857143,"['CRH', 'EVR', 'III', 'MRO', 'STAN', 'VOD']",6,False,0.008164
42,2016-05-31,0.2,0.7666666666666667,"['AZN', 'CCL', 'GSK', 'MRO', 'TSCO', 'VOD']",6,False,0.008039
43,2016-10-31,0.2,0.49523809523809526,"['ADM', 'AHT', 'RBS', 'STAN', 'SVT']",5,False,0.008102
44,2017-03-31,0.2,0.4523809523809524,"['ADM', 'AZN', 'CNA', 'PRU', 'PSON']",5,False,0.007947
45,2017-08-31,0.2,0.5238095238095238,"['III', 'RBS', 'STAN', 'SVT']",4,True,0.008003
46,2008-06-30,0.30000000000000004,0.44285714285714284,"['AZN', 'CRH', 'GSK', 'IAG', 'MRO', 'PRU', 'STAN', 'SVT']",8,False,0.008033
47,2008-11-30,0.30000000000000004,0.7619047619047619,"['ADM', 'AHT', 'EVR', 'GSK', 'PSON', 'RBS']",6,False,0.007971
48,2009-04-30,0.30000000000000004,0.5238095238095238,"['AZN', 'IAG', 'MRO', 'RBS', 'SVT', 'TSCO']",6,False,0.008045
