,date,threshold,density,max_clique,clique_size,valid_clique,computation_time
0,2008-06-30,0.1,0.9005847953216374,"['BND', 'DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'UNG', 'USO', 'VB', 'VEU', 'VO', 'VTI']",15,True,0.007764
1,2008-11-30,0.1,0.8888888888888888,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'SLV', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",15,True,0.007739
2,2009-04-30,0.1,0.8771929824561403,"['BND', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",15,True,0.007774
3,2009-09-30,0.1,0.8830409356725146,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True,0.007784
4,2010-02-28,0.1,0.935672514619883,"['BND', 'DBB', 'DBE', 'GLD', 'ICF', 'MUB', 'RWR', 'SLV', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",16,True,0.007742
5,2010-07-31,0.1,0.8362573099415205,"['BND', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",14,True,0.007789
6,2010-12-31,0.1,0.7485380116959064,"['BND', 'GLD', 'ICF', 'MUB', 'RWR', 'SHY', 'SLV', 'TIP', 'TLT', 'USRT']",10,True,0.007819
7,2011-05-31,0.1,0.9005847953216374,"['BND', 'DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'SLV', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",16,True,0.007759
8,2011-10-31,0.1,0.8830409356725146,"['BND', 'DBB', 'DBE', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",15,True,0.007763
9,2012-03-31,0.1,0.8362573099415205,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True,0.007838
10,2012-08-31,0.1,0.8538011695906432,"['BND', 'DBE', 'GLD', 'SHY', 'SLV', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True,0.007741
11,2013-01-31,0.1,0.8888888888888888,"['DBB', 'GLD', 'MUB', 'SHY', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",11,True,0.007773
12,2013-06-30,0.1,0.9064327485380117,"['BND', 'DBE', 'ICF', 'MUB', 'RWR', 'SHY', 'TIP', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",15,True,0.007753
13,2013-11-30,0.1,0.8771929824561403,"['BND', 'DBB', 'GLD', 'ICF', 'RWR', 'SHY', 'SLV', 'USO', 'USRT', 'VEU', 'VO', 'VTI']",12,True,0.007759
14,2014-04-30,0.1,0.7719298245614035,"['BND', 'ICF', 'MUB', 'RWR', 'SHY', 'TIP', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",11,True,0.00788
15,2014-09-30,0.1,0.8830409356725146,"['BND', 'GLD', 'ICF', 'RWR', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True,0.007773
16,2015-02-28,0.1,0.8011695906432749,"['BND', 'DBE', 'GLD', 'ICF', 'MUB', 'RWR', 'SHY', 'SLV', 'TIP', 'TLT', 'USRT']",11,True,0.007783
17,2015-07-31,0.1,0.8421052631578947,"['BND', 'DBB', 'DBE', 'MUB', 'TIP', 'TLT', 'UNG', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True,0.007767
18,2015-12-31,0.1,0.8304093567251462,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",12,True,0.007816
19,2016-05-31,0.1,0.8830409356725146,"['DBB', 'ICF', 'MUB', 'RWR', 'SHY', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True,0.007744
20,2016-10-31,0.1,0.8538011695906432,"['BND', 'DBB', 'GLD', 'ICF', 'RWR', 'SLV', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True,0.007776
21,2017-03-31,0.1,0.8830409356725146,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'SLV', 'TIP', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VWO']",14,True,0.007771
22,2017-08-31,0.1,0.7602339181286549,"['BND', 'GLD', 'MUB', 'RWR', 'TIP', 'UNG', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,False,0.007797
23,2008-06-30,0.2,0.8596491228070176,"['BND', 'DBB', 'GLD', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'UNG', 'USO', 'VB', 'VEU', 'VO', 'VTI']",14,True,0.007813
24,2008-11-30,0.2,0.7719298245614035,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",14,True,0.007793
25,2009-04-30,0.2,0.783625730994152,"['BND', 'DBB', 'DBE', 'ICF', 'RWR', 'SHY', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",14,True,0.007813
26,2009-09-30,0.2,0.7251461988304093,"['DBB', 'DBE', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True,0.007913
27,2010-02-28,0.2,0.8596491228070176,"['DBB', 'DBE', 'GLD', 'ICF', 'MUB', 'RWR', 'SLV', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",15,True,0.007764
28,2010-07-31,0.2,0.7485380116959064,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True,0.007827
29,2010-12-31,0.2,0.5847953216374269,"['DBB', 'ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True,0.007954
